RLP,2,1,1,1,0,2,2,3,0,0,1,2,1,1,1,1,2,2,2,2,1,2,0,2,0,3,0,2,0,1,2
MGB,2,0,1,1,0,2,1,0,2,0,1,0,1,0,1,0,1,1,0,1,2,1,1,1,1,1,1,1,1,2,0
VLJ,0,0,1,1,2,0,0,2,1,0,2,0,3,1,0,0,0,0,3,1,1,3,2,0,0,2,1,1,1,0,1
RMP,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
RPM,2,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,2,0
PSM,0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,3,0,0,0,0,2,0,0,1,0,1,1
BFA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
AJR,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
AGN,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
HCT,0,1,1,0,0,1,0,2,1,1,0,1,0,1,1,1,1,0,2,0,1,1,1,0,1,1,2,1,0,1,1
