RLP,0,1,2,1,0,1,0,2,1,2,1,2,0,1,1,1,0,0,1,1,2,1,0,0,0,0,0,0,0,1,0
MGB,0,0,0,1,1,1,1,2,0,1,1,2,1,1,3,0,2,1,0,1,1,1,1,1,1,0,0,0,1,2,0
VLJ,0,2,1,2,1,2,2,2,0,0,2,0,1,2,1,1,0,0,2,2,1,0,1,1,0,1,3,1,1,1,1
RMP,1,1,0,1,1,1,1,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
RPM,0,0,1,0,1,0,2,3,0,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,2,1,0,1,1
PSM,1,1,0,2,1,1,0,3,0,0,0,1,0,0,2,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1
BFA,1,0,1,0,1,0,0,1,1,1,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
AJR,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
AGN,0,2,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,2,1,1,1,1,0,0,0,0,1,0
HCT,0,1,0,1,0,1,1,1,1,2,0,1,1,1,2,1,3,1,1,0,1,0,0,1,0,0,1,0,2,1,0
