RLP,1,0,3,0,1,1,1,0,1,2,0,1,1,1,1,0,1,2,1,1,2,2,1,0,1,0,0,2,1,0
MGB,2,0,0,0,2,0,0,2,1,1,2,2,1,0,0,0,1,2,1,0,1,0,2,0,0,0,0,0,0,1
VLJ,2,0,0,2,0,1,0,0,1,2,0,0,0,1,1,0,2,1,1,0,0,2,1,1,0,1,0,0,0,1
RMP,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
RPM,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0,2,0,0,1,0,0,1,1
PSM,1,0,2,0,0,1,0,1,1,1,0,0,2,0,1,0,1,1,2,0,2,0,1,0,2,1,1,0,0,1
BFA,0,0,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
AJR,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1
AGN,0,1,0,2,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
HCT,1,1,1,1,1,1,0,0,0,1,1,1,1,0,2,1,0,2,1,0,1,1,2,2,1,2,0,2,0,0
