RLP,1,3,0,1,1,2,3,1,1,0,0,1,1,2,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1
MGB,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,1,0,2,1,1,2,0,2,0,2
VLJ,0,2,0,1,1,1,0,1,2,1,1,2,1,1,0,1,0,0,1,0,0,1,0,1,1,0,2,0,1,0,0
RMP,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0
RPM,1,0,0,0,0,2,0,0,1,0,1,0,1,1,1,0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0
PSM,1,0,0,0,2,0,2,1,0,0,0,0,2,2,1,1,0,0,0,1,0,2,0,2,0,0,1,2,0,0,0
BFA,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0
AJR,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1
AGN,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,1,0,0,1,0,0,0
HCT,2,0,1,2,0,0,2,1,0,0,1,0,2,1,0,1,0,2,0,0,2,1,1,1,1,2,0,2,0,1,0
