RLP,0,0,0,2,2,2,2,2,1,2,2,2,1,2,3,1,3,1,1,1,2,2,1,1,1,2,1,1,1,0
MGB,0,0,0,0,0,2,1,1,0,1,0,1,0,1,2,0,1,1,0,1,1,0,0,2,1,1,0,2,1,1
VLJ,1,0,0,0,2,0,2,0,0,0,1,2,1,2,1,0,1,0,2,1,0,1,1,2,1,1,1,0,1,4
RMP,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
RPM,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0
PSM,1,0,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,2,0
BFA,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
AJR,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AGN,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
HCT,0,1,1,2,2,1,1,1,0,1,1,0,2,0,1,1,2,1,2,0,1,1,2,0,1,2,0,1,1,1
